pais,sexo,edad,satisfaccion_vida,situacion_pais,economia_actual,economia_vs12m,economia_12m_futuro,confianza_interpersonal,preferencia_democracia,satisfaccion_democracia,satisfaccion_economia,aprueba_presidente,ideologia_izq_der,justicia_distributiva,nivel_democratico_pais,elecciones_limpias,inmigrantes_ayudan_economia,inmigrantes_compiten_trabajo,inmigrantes_aumentan_crimen,mercado_unico_desarrollo,justicia_no_dura_con_delito,impacto_inmigracion_pais,existe_cambio_climatico,me_importa_medioambiente,obligacion_proteger_medioambiente,importa_impacto_otros,proteger_para_futuras_gen,dispuesto_ahorrar_electricidad,dispuesto_cambiar_alimentacion,derecho_plantas_animales,delincuencia_ult12m,drogadiccion_ult12m,corrupcion_ult12m,corrupcion_0a10,clase_social,suficiencia_ingresos,raza_etnia,educacion_anios,situacion_ocupacional
32.0,Mujer,83.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,,Muy injusta,7.0,Fraudulentas,De acuerdo,En desacuerdo,En desacuerdo,,De acuerdo,Ni beneficia ni perjudica,,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Aumentó poco,Aumentó poco,Aumentó mucho,4.0,Media baja,Poco suficiente,Blanco/a,,Jubilado/a o pensionado/a
32.0,Mujer,30.0,Bastante satisfecho/a,En retroceso,Mala,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,4.0,Injusta,,Limpias,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Igual,Aumentó poco,Aumentó poco,7.0,Media alta,Algo suficiente,Blanco/a,14.0,Independiente/cuenta propia
32.0,Hombre,59.0,Bastante satisfecho/a,En retroceso,Muy mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,5.0,Muy injusta,7.0,Limpias,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Aumentó poco,Aumentó poco,Aumentó poco,7.0,Media baja,Algo suficiente,Blanco/a,13.0,Jubilado/a o pensionado/a
32.0,Hombre,62.0,Bastante satisfecho/a,En retroceso,Mala,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,7.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Aumentó mucho,Igual,Aumentó mucho,7.0,Media,Algo suficiente,Blanco/a,14.0,Jubilado/a o pensionado/a
32.0,Mujer,46.0,Bastante satisfecho/a,En retroceso,Mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,3.0,Muy injusta,7.0,Limpias,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media baja,Algo suficiente,Mestizo/a,13.0,Independiente/cuenta propia
32.0,Hombre,18.0,Bastante satisfecho/a,Estancado,Regular,Igual,Un poco mejor,Se puede confiar en la mayoría,,,Bastante satisfecho/a,1.0,,Injusta,7.0,Limpias,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Aumentó poco,,6.0,Media,Algo suficiente,Blanco/a,10.0,Estudiante
32.0,Hombre,39.0,Muy satisfecho/a,En retroceso,Mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,2.0,5.0,Injusta,,Limpias,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Disminuyó poco,,Igual,7.0,Media,Algo suficiente,Blanco/a,15.0,Asalariado sector privado
32.0,Mujer,44.0,Bastante satisfecho/a,En retroceso,Buena,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Poco satisfecho/a,Nada satisfecho/a,2.0,4.0,Muy injusta,,Limpias,De acuerdo,En desacuerdo,En desacuerdo,,Muy de acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó poco,,,6.0,Media baja,Algo suficiente,Mestizo/a,16.0,Asalariado sector público
32.0,Mujer,18.0,Bastante satisfecho/a,Estancado,Mala,Mucho peor,Igual,Se puede confiar en la mayoría,,Bastante satisfecho/a,Bastante satisfecho/a,1.0,,Injusta,6.0,Limpias,De acuerdo,De acuerdo,En desacuerdo,,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó poco,Aumentó poco,,,Media,Algo suficiente,Mestizo/a,13.0,Estudiante
32.0,Hombre,36.0,Bastante satisfecho/a,En retroceso,Muy mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,2.0,7.0,Muy injusta,,Limpias,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Aumentó poco,Aumentó poco,,7.0,Media,Poco suficiente,Blanco/a,14.0,Asalariado sector público
32.0,Mujer,42.0,Poco satisfecho/a,En retroceso,Muy mala,Mucho peor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,0.0,Muy injusta,10.0,Fraudulentas,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Beneficia,No,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media baja,Nada suficiente,Asiático/a,4.0,Asalariado sector privado
