anio,cat_inac,cat_ocup,ch03,ch04,ch06,ch07,ch08,ch12,ch13,ch14,codusu,estado,ipcf,itf,miembros_hogar,nivel_ed,nro_hogar,pondera,pp03d,pp04a,pp04c,pp10a,pp3e_tot,pp3e_tot_missing,pp3f_tot,pp3f_tot_missing,lp_pc,pobre
2005,0.0,3.0,1.0,1.0,28.0,2.0,4.0,2.0,1.0,,125082,1.0,280.0,840.0,3.0,2.0,1.0,377.0,0.0,2.0,4.0,0.0,72.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,2.0,30.0,2.0,1.0,6.0,1.0,,125082,1.0,280.0,840.0,3.0,6.0,1.0,377.0,2.0,1.0,6.0,0.0,30.0,0,12.0,0,205.07,0
2005,5.0,0.0,3.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,125082,4.0,280.0,840.0,3.0,7.0,1.0,377.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,66.0,2.0,2.0,4.0,2.0,3.0,125283,1.0,1075.0,4300.0,4.0,3.0,1.0,283.0,0.0,2.0,2.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,2.0,60.0,2.0,2.0,4.0,2.0,2.0,125283,1.0,1075.0,4300.0,4.0,3.0,1.0,283.0,0.0,2.0,3.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,3.0,1.0,29.0,5.0,2.0,7.0,2.0,4.0,125283,1.0,1075.0,4300.0,4.0,5.0,1.0,283.0,2.0,1.0,99.0,0.0,20.0,0,10.0,0,205.07,0
2005,0.0,3.0,3.0,1.0,26.0,5.0,2.0,7.0,1.0,,125283,1.0,1075.0,4300.0,4.0,6.0,1.0,283.0,0.0,2.0,8.0,0.0,24.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,33.0,1.0,12.0,7.0,1.0,,125409,1.0,400.0,1200.0,3.0,6.0,1.0,337.0,0.0,1.0,99.0,0.0,40.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,2.0,25.0,1.0,12.0,7.0,2.0,1.0,125409,1.0,400.0,1200.0,3.0,5.0,1.0,337.0,0.0,1.0,99.0,0.0,40.0,0,0.0,0,205.07,0
2005,5.0,0.0,3.0,2.0,1.0,5.0,12.0,,,,125409,4.0,400.0,1200.0,3.0,7.0,1.0,337.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,53.0,2.0,12.0,4.0,1.0,,125632,1.0,1200.0,2400.0,2.0,4.0,1.0,485.0,0.0,1.0,12.0,0.0,40.0,0,0.0,0,205.07,0
2005,0.0,2.0,2.0,2.0,51.0,2.0,12.0,2.0,1.0,,125632,1.0,1200.0,2400.0,2.0,2.0,1.0,485.0,0.0,2.0,1.0,0.0,2.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,30.0,5.0,13.0,6.0,1.0,,126192,1.0,733.3333333333334,2200.0,3.0,6.0,1.0,223.0,0.0,2.0,6.0,0.0,45.0,0,0.0,0,205.07,0
2005,0.0,3.0,6.0,2.0,55.0,1.0,13.0,4.0,1.0,,126192,1.0,733.3333333333334,2200.0,3.0,4.0,1.0,223.0,0.0,1.0,3.0,0.0,30.0,0,0.0,0,205.07,0
2005,0.0,3.0,10.0,1.0,58.0,1.0,13.0,4.0,1.0,,126192,1.0,733.3333333333334,2200.0,3.0,4.0,1.0,223.0,0.0,2.0,99.0,0.0,0.0,0,0.0,0,205.07,0
2005,1.0,0.0,1.0,2.0,78.0,4.0,1.0,7.0,1.0,,126610,3.0,3200.0,3200.0,1.0,6.0,1.0,494.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,34.0,4.0,1.0,6.0,1.0,,126653,1.0,435.0,870.0,2.0,6.0,1.0,386.0,0.0,1.0,11.0,0.0,0.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,1.0,16.0,5.0,1.0,5.0,2.0,2.0,126653,3.0,435.0,870.0,2.0,3.0,1.0,386.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,2.0,31.0,2.0,1.0,7.0,2.0,2.0,126852,1.0,517.3333333333334,1552.0,3.0,5.0,1.0,452.0,0.0,1.0,11.0,0.0,40.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,1.0,32.0,2.0,1.0,6.0,1.0,,126852,1.0,517.3333333333334,1552.0,3.0,6.0,1.0,452.0,0.0,1.0,11.0,0.0,48.0,0,0.0,0,205.07,0
