codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQRMNOVQVHJOLOCDEFKID00875778,1,2,25,1,4.0,4,1,0,1028000.0,205600.0,927.0,1076.0,3,0.0,24.0,0.0,2.0,3.0,,0,0
TQRMNOVQVHJOLOCDEFKID00875778,1,2,7,5,4.0,1,4,3,1028000.0,205600.0,927.0,1076.0,0,,,,,,,0,0
TQRMNOVQVHJOLOCDEFKID00875778,1,1,4,5,4.0,7,4,5,1028000.0,205600.0,927.0,1076.0,0,,,,,,,0,0
TQRMNOVQVHJOLOCDEFKID00875778,1,1,0,5,4.0,7,4,5,1028000.0,205600.0,927.0,1076.0,0,,,,,,,0,0
TQRMNOUPQHLOLOCDEFKID00851757,1,2,29,5,4.0,5,1,0,690000.0,230000.0,1294.0,1531.0,2,0.0,70.0,0.0,2.0,1.0,,0,0
TQRMNOUPQHLOLOCDEFKID00851757,1,2,13,5,4.0,1,3,3,690000.0,230000.0,1294.0,1531.0,0,,,,,,,0,0
TQRMNOUPQHLOLOCDEFKID00851757,1,1,5,5,4.0,7,4,5,690000.0,230000.0,1294.0,1531.0,0,,,,,,,0,0
TQRMNOQVWHMMLQCDEFKID00877643,1,2,39,1,1.0,6,1,0,1050000.0,350000.0,727.0,1180.0,3,0.0,24.0,0.0,1.0,12.0,,0,0
TQRMNOQVWHMMLQCDEFKID00877643,1,1,41,1,1.0,3,1,0,1050000.0,350000.0,727.0,1180.0,3,0.0,36.0,0.0,2.0,,,0,0
TQRMNOQVWHMMLQCDEFKID00877643,1,2,2,5,1.0,7,4,5,1050000.0,350000.0,727.0,1180.0,0,,,,,,,0,0
TQRMNOSTRHJMLRCDEFKID00875910,1,2,51,5,2.0,3,1,0,0.0,0.0,656.0,,3,0.0,60.0,0.0,2.0,2.0,,0,0
