codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,pondera,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio,itf,pondih
125082,1.0,1.0,28.0,2.0,4.0,2.0,1.0,0.0,280.0,377.0,3.0,0.0,72.0,0.0,2.0,4.0,0.0,0,0,2005,,
125082,1.0,2.0,30.0,2.0,1.0,6.0,1.0,0.0,280.0,377.0,3.0,2.0,30.0,12.0,1.0,6.0,0.0,0,0,2005,,
125082,1.0,1.0,4.0,5.0,1.0,7.0,4.0,5.0,280.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
125283,1.0,1.0,66.0,2.0,2.0,3.0,1.0,0.0,1075.0,283.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,2005,,
125283,1.0,2.0,60.0,2.0,2.0,3.0,1.0,0.0,1075.0,283.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0,0,2005,,
125283,1.0,1.0,29.0,5.0,2.0,5.0,1.0,0.0,1075.0,283.0,3.0,2.0,20.0,10.0,1.0,99.0,0.0,0,0,2005,,
125283,1.0,1.0,26.0,5.0,2.0,6.0,1.0,0.0,1075.0,283.0,3.0,0.0,24.0,0.0,2.0,8.0,0.0,0,0,2005,,
125409,1.0,1.0,33.0,1.0,12.0,6.0,1.0,0.0,400.0,337.0,3.0,0.0,40.0,0.0,1.0,99.0,0.0,0,0,2005,,
125409,1.0,2.0,25.0,1.0,12.0,5.0,1.0,0.0,400.0,337.0,3.0,0.0,40.0,0.0,1.0,99.0,0.0,0,0,2005,,
125409,1.0,2.0,1.0,5.0,12.0,7.0,4.0,5.0,400.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
125632,1.0,1.0,53.0,2.0,12.0,4.0,1.0,0.0,1200.0,485.0,3.0,0.0,40.0,0.0,1.0,12.0,0.0,0,0,2005,,
125632,1.0,2.0,51.0,2.0,12.0,2.0,1.0,0.0,1200.0,485.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0,0,2005,,
126192,1.0,1.0,30.0,5.0,13.0,6.0,1.0,0.0,733.3333333333334,223.0,3.0,0.0,45.0,0.0,2.0,6.0,0.0,0,0,2005,,
126192,1.0,2.0,55.0,1.0,13.0,4.0,1.0,0.0,733.3333333333334,223.0,3.0,0.0,30.0,0.0,1.0,3.0,0.0,0,0,2005,,
126192,1.0,1.0,58.0,1.0,13.0,4.0,1.0,0.0,733.3333333333334,223.0,3.0,0.0,0.0,0.0,2.0,99.0,0.0,0,0,2005,,
126610,1.0,2.0,78.0,4.0,1.0,6.0,3.0,1.0,3200.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
126653,1.0,1.0,34.0,4.0,1.0,6.0,1.0,0.0,435.0,386.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,0,0,2005,,
126653,1.0,1.0,16.0,5.0,1.0,3.0,3.0,3.0,435.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
126852,1.0,2.0,31.0,2.0,1.0,5.0,1.0,0.0,517.3333333333334,452.0,3.0,0.0,40.0,0.0,1.0,11.0,0.0,0,0,2005,,
126852,1.0,1.0,32.0,2.0,1.0,6.0,1.0,0.0,517.3333333333334,452.0,3.0,0.0,48.0,0.0,1.0,11.0,0.0,0,0,2005,,
126852,1.0,1.0,0.0,5.0,1.0,7.0,4.0,5.0,517.3333333333334,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
127148,1.0,1.0,45.0,1.0,1.0,4.0,1.0,0.0,820.0,1136.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,0,0,2005,,
127148,1.0,2.0,38.0,1.0,1.0,2.0,1.0,0.0,820.0,1136.0,3.0,3.0,53.0,32.0,2.0,10.0,0.0,0,0,2005,,
127148,1.0,2.0,38.0,5.0,4.0,1.0,3.0,4.0,820.0,1136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
127885,1.0,1.0,45.0,2.0,12.0,6.0,1.0,0.0,730.0,523.0,3.0,0.0,50.0,0.0,2.0,99.0,0.0,0,0,2005,,
127885,1.0,2.0,43.0,2.0,12.0,5.0,1.0,0.0,730.0,523.0,2.0,0.0,8.0,0.0,2.0,1.0,0.0,0,0,2005,,
127885,1.0,1.0,17.0,5.0,12.0,3.0,3.0,3.0,730.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
127885,1.0,1.0,13.0,5.0,12.0,3.0,3.0,3.0,730.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
127885,1.0,2.0,8.0,5.0,12.0,1.0,4.0,3.0,730.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
127986,1.0,1.0,39.0,2.0,4.0,6.0,1.0,0.0,1025.0,491.0,1.0,0.0,60.0,0.0,2.0,6.0,0.0,0,0,2005,,
127986,1.0,2.0,37.0,2.0,1.0,6.0,1.0,0.0,1025.0,491.0,3.0,0.0,35.0,0.0,1.0,10.0,0.0,0,0,2005,,
127986,1.0,1.0,5.0,5.0,1.0,7.0,4.0,5.0,1025.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
127986,1.0,2.0,2.0,5.0,1.0,7.0,4.0,5.0,1025.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128180,1.0,1.0,44.0,3.0,4.0,4.0,1.0,0.0,400.0,260.0,3.0,0.0,71.0,0.0,2.0,4.0,0.0,0,0,2005,,
128180,1.0,1.0,17.0,5.0,4.0,3.0,3.0,3.0,400.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128348,1.0,1.0,32.0,2.0,1.0,6.0,1.0,0.0,1333.3333333333333,370.0,3.0,2.0,40.0,6.0,2.0,99.0,0.0,0,0,2005,,
128348,1.0,2.0,32.0,2.0,1.0,6.0,1.0,0.0,1333.3333333333333,370.0,3.0,0.0,0.0,0.0,2.0,99.0,0.0,0,0,2005,,
128348,1.0,2.0,0.0,5.0,1.0,7.0,4.0,5.0,1333.3333333333333,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128594,1.0,1.0,60.0,2.0,12.0,6.0,3.0,2.0,710.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128594,1.0,2.0,65.0,2.0,12.0,4.0,3.0,1.0,710.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128594,1.0,2.0,34.0,5.0,1.0,5.0,1.0,0.0,710.0,297.0,3.0,0.0,30.0,0.0,1.0,11.0,0.0,0,0,2005,,
128666,1.0,1.0,56.0,2.0,2.0,2.0,1.0,0.0,750.0,346.0,1.0,0.0,112.0,0.0,2.0,2.0,0.0,0,0,2005,,
128666,1.0,2.0,46.0,2.0,2.0,4.0,3.0,4.0,750.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128666,1.0,1.0,21.0,5.0,2.0,5.0,3.0,3.0,750.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128666,1.0,2.0,22.0,5.0,2.0,5.0,3.0,3.0,750.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128925,1.0,1.0,46.0,1.0,4.0,2.0,1.0,0.0,112.5,512.0,3.0,0.0,16.0,0.0,2.0,2.0,0.0,0,0,2005,,
128925,1.0,2.0,33.0,1.0,4.0,2.0,1.0,0.0,112.5,512.0,3.0,2.0,12.0,8.0,2.0,0.0,0.0,0,0,2005,,
128925,1.0,2.0,12.0,5.0,4.0,1.0,3.0,3.0,112.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
128925,1.0,1.0,5.0,5.0,4.0,7.0,4.0,5.0,112.5,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
129183,1.0,2.0,52.0,4.0,1.0,5.0,1.0,0.0,700.0,327.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,0,0,2005,,
129183,1.0,2.0,19.0,5.0,1.0,5.0,3.0,3.0,700.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
129183,1.0,1.0,14.0,5.0,1.0,3.0,3.0,1.0,700.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
129184,1.0,1.0,59.0,2.0,1.0,1.0,3.0,1.0,177.5,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
129184,1.0,2.0,54.0,2.0,1.0,2.0,1.0,0.0,177.5,372.0,2.0,0.0,56.0,0.0,2.0,2.0,0.0,0,0,2005,,
129184,1.0,2.0,27.0,5.0,4.0,4.0,1.0,0.0,177.5,372.0,3.0,0.0,18.0,0.0,2.0,3.0,0.0,0,0,2005,,
